Day,Month,Year,daily_unit_sales,previous_year_daily_unit_sales,percentage_difference_daily_unit_sales,daily_unit_sales_kg,previous_year_daily_unit_sales_kg,percentage_difference_daily_unit_sales_kg,daily_unit_returns_kg,previous_year_daily_unit_returns_kg,points_of_distribution,previous_year_points_of_distribution
3,December,2020,"3,963",,,"2,378",,13.62%,,,510,
4,December,2020,"3,164",,,"1,898",,15.99%,,,534,
5,December,2020,"1,586",,,952,,25.36%,,,493,
6,December,2020,715,,,429,,1.24%,,,18,
7,December,2020,"3,028",,,"1,817",,22.70%,,,873,
8,December,2020,"3,050",,,"1,830",,16.09%,,,547,
9,December,2020,"3,478",,,"2,087",,15.77%,,,522,
10,December,2020,"4,311",,,"2,587",,13.57%,,,589,
11,December,2020,"2,476",,,"1,486",,19.69%,,,748,
12,December,2020,"1,526",,,916,,22.93%,,,459,
13,December,2020,438,,,263,,0.45%,,,13,
14,December,2020,"3,134",,,"1,880",,19.02%,,,738,
15,December,2020,"2,604",,,"1,562",,19.78%,,,665,
16,December,2020,"2,614",,,"1,568",,19.10%,,,595,
17,December,2020,"3,010",,,"1,806",,15.19%,,,497,
18,December,2020,"2,972",,,"1,783",,16.89%,,,687,
19,December,2020,"1,447",,,868,,26.17%,,,442,
20,December,2020,"1,399",,,839,,1.34%,,,23,
21,December,2020,"3,496",,,"2,098",,17.93%,,,715,
22,December,2020,"2,418",,,"1,451",,20.83%,,,1010,
23,December,2020,"4,824",,,"2,894",,14.73%,,,863,
24,December,2020,"2,992",,,"1,795",,20.59%,,,663,
27,December,2020,"1,517",,,910,,0.59%,,,33,
28,December,2020,"4,379",,,"2,627",,12.77%,,,770,
29,December,2020,"2,709",,,"1,625",,20.02%,,,753,
30,December,2020,"3,124",,,"1,874",,21.39%,,,804,
31,December,2020,"1,490",,,894,,35.39%,,,2094,
,,,,,,,,,,,,
